id,name,overview,genres,number_of_seasons,number_of_episodes,first_air_date,last_air_date,networks,vote_count,vote_average,languages,popularity,backdrop_path,watchlisted_rating
1,Game of Thrones,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","['Sci-Fi', 'Drama', 'Action']",8,73,2011-04-17,2019-05-19,['HBO'],21857,8.442,['en'],1083.917,/2OMB0ynKlyIenMJWI2Dy9IWT4c.jpg,10.0
2,Money Heist,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","['Crime', 'Drama']",3,41,2017-05-02,2021-12-03,"['Netflix', 'Antena 3']",17836,8.257,['es'],96.354,/gFZriCkpJYsApPZEF3jhxL4yLzG.jpg,7.981487690491739
3,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.","['Drama', 'Sci-Fi', 'Mystery']",4,34,2016-07-15,2022-07-01,['Netflix'],16161,8.624,['en'],185.711,/2MaumbgBlW1NoPo3ZJO38A6v7OS.jpg,7.553375548027352
4,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,"['Action', 'Drama', 'Sci-Fi']",11,177,2010-10-31,2022-11-20,['AMC'],15432,8.121,['en'],489.746,/x4salpjB11umlUOltfNvSSrjSXm.jpg,6.791971033270826
5,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.","['Crime', 'Sci-Fi']",6,93,2016-01-25,2021-09-10,"['FOX', 'Netflix']",13870,8.486,['en'],416.668,/aDBRtunw49UF4XmqfyNuD9nlYIu.jpg,6.378867605948107
6,Riverdale,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.","['Crime', 'Drama', 'Mystery']",7,137,2017-01-26,2023-08-23,['The CW'],13180,8.479,['en'],143.75,/soQgquPkLmUu9eKLJJzuA4KZDyi.jpg,6.056533802554579
7,Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games—with high stakes. But, a tempting prize awaits the victor.","['Action', 'Mystery', 'Drama']",2,9,2021-09-17,2021-09-17,['Netflix'],13053,7.831,"['en', 'ko', 'ur']",115.587,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,5.539769079230805
8,Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","['Drama', 'Crime']",5,-1,2008-01-20,2013-09-29,['AMC'],12398,8.89,"['en', 'de', 'es']",247.632,/tsRy63Mu5cu8etL1X7ZLyf7UP1M.jpg,5.973343542918918
9,The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",['Drama'],6,116,2017-09-25,2023-05-01,['ABC'],11768,8.503,['en'],681.614,/xXRsKNJHTOGrs5wfYAxkbM2RiyT.jpg,5.422991687141497
10,WandaVision,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,"['Sci-Fi', 'Mystery', 'Drama']",1,9,2021-01-15,2021-03-05,['Disney+'],11308,8.3,['en'],62.893,/lOr9NKxh4vMweufMOUDJjJhCRHW.jpg,5.08660474558213
11,The Flash,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.","['Drama', 'Sci-Fi']",9,184,2014-10-07,2023-05-24,['The CW'],10642,7.797,['en'],319.767,/gNPWlhUXhyWiHv9qxr57tvT0WwS.jpg,4.496917174921216
12,The Big Bang Theory,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,['Comedy'],12,279,2007-09-24,2019-05-16,['CBS'],10322,7.879,['en'],344.121,/7RySzFeK3LPVMXcPtqfZnl6u4p1.jpg,4.407568343074507
13,Loki,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.","['Drama', 'Sci-Fi']",2,12,2021-06-09,2021-07-14,['Disney+'],10136,8.2,['en'],276.759,/bZGAX8oMDm3Mo5i0ZPKh9G2OcaO.jpg,4.504478871446249
14,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,['Drama'],19,419,2005-03-27,2023-05-18,['ABC'],9512,8.253,['en'],1647.218,/ds1n5P0Y92cTh6UpbcA89hxM96a.jpg,4.254492737392782
15,The Mandalorian,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.","['Sci-Fi', 'Action', 'Drama']",3,24,2019-11-12,2023-04-19,['Disney+'],9353,8.5,['en'],154.48,/9zcbqSxdsRMZWHYtyCd1nXPr2xq.jpg,4.308578004016263
16,The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.","['Family', 'Animation', 'Comedy']",35,762,1989-12-17,2023-10-01,['FOX'],9136,7.999,['en'],439.488,/pxeqQX4qFQ0cVxPt5SWZENV5BH3.jpg,3.9605535309701945
17,Euphoria,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.","['Drama', 'Crime']",2,16,2019-06-16,2022-02-27,['HBO'],9008,8.353,['en'],197.456,/oKt4J3TFjWirVwBqoHyIvv5IImd.jpg,4.077884856377897
18,The Umbrella Academy,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.","['Action', 'Sci-Fi', 'Drama']",4,32,2019-02-15,2022-06-22,['Netflix'],8891,8.604,['en'],51.859,/7sqFEDDmK1hG5m92upolcfQxy7R.jpg,4.145864576424409
19,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.","['Drama', 'Crime']",6,36,2013-09-12,2022-04-03,"['BBC One', 'BBC Two']",8836,8.546,['en'],344.477,/wiE9doxiLwq3WCGamDIOb2PqBqc.jpg,4.0924435311834
